Subj,Cat,Sect,"Class
Nbr",Title,Day,Start,End,Bldg/Room,Type,Instructor,Units,Notes,Available
AAAS,1001,01,96153,IHE IN THE PACIFIC CENTURY,TR,4:30 PM,5:45 PM,KH B1017,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,1001,02,96154,IHE IN THE PACIFIC CENTURY,TR,10:50 AM,12:05 PM,SH 264,LEC,"Yoon,Sun-Hee",3.00,,Closed
AAAS,1500,01,93397,ASIAN-AMERICAN HISTORY,TR,9:25 AM,10:40 AM,MUS 118,LEC,"Chiu,Wei Lun Jason",3.00,Combine with HIST 1500 01,Closed
AAAS,1600,01,96156,HISTORY OF ASIA,TR,1:40 PM,2:55 PM,KH C4073,LEC,"Yoon,Sun-Hee",3.00,Combine with HIST 1600 01,Open
AAAS,2000,01,94299,PAC ASIAN CULTURE/PEOPLE & SOC,TR,1:40 PM,2:55 PM,MUS 220,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,2100,01,92717,ASIAN AMERICA,MW,3:05 PM,4:20 PM,KH B1007,LEC,"Xing,Jun",3.00,,Open
AAAS,2200,01,92719,ASIAN ASAM LIT ARTS MEDIA,MW,4:30 PM,5:45 PM,KH C4070,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,3480,01,92720,"RACE, CLASS, AND GENDER",TR,10:50 AM,12:05 PM,MUS 118,LEC,"Phun,Juily Iyn Vo",3.00,Combine with PAS 3480 01,Open
AAAS,3480,02,93688,"RACE, CLASS, AND GENDER",TR,4:30 PM,5:45 PM,KH C4071,LEC,"Phun,Juily Iyn Vo",3.00,Combine with PAS 3480 02,Open
AAAS,3510,01,92721,FOOD JUSTICE API,TR,1:40 PM,2:55 PM,BIOS 334,LEC,"Phun,Juily Iyn Vo",3.00,,Open
AAAS,3520,01,93796,ASAM ORAL HIST,R,6:00 PM,8:45 PM,KH B3008,LEC,"Phun,Juily Iyn Vo",3.00,Combine with HIST 3520 01,Open
AAAS,3530,01,97276,ASIAN / ASIAM AM LIT,MW,1:40 PM,2:55 PM,MUS 110,LEC,"Xing,Jun",3.00,,Open
AAAS,3730,01,96457,ASIAN AMERICANS,T,9:25 AM,10:40 AM,KH B3019,LEC,"Lo,Ya-Fen",3.00,"Instruction is partially online. Combine with
CHDV 3730 01.",Open
AAAS,3730,02,96458,ASIAN AMERICANS,R,9:25 AM,10:40 AM,KH B3019,LEC,"Lo,Ya-Fen",3.00,"Instruction is partially online. Combine with
CHDV 3730 02.",Open
AAAS,3730,03,94470,ASIAN AMERICANS,MW,12:15 PM,1:30 PM,KH B3010,LEC,"Chiu,Wei Lun Jason",3.00,Combine with CHDV 3730 03,Open
ACCT,2100,01,90009,PRINCIPLES OF FINANCIAL ACCT,F,12:00 PM,2:45 PM,SH 358B,LEC,"Zhao,Lijuan",3.00,,Open
ACCT,2100,02,95658,PRINCIPLES OF FINANCIAL ACCT,F,12:00 PM,2:45 PM,BIOS 144,LEC,"Cao,Yiting",3.00,,Open
ACCT,2100,03,90010,PRINCIPLES OF FINANCIAL ACCT,MW,12:15 PM,1:30 PM,FA 218,LEC,"Lee,Dong-Woo",3.00,,Open
ACCT,2100,04,90984,PRINCIPLES OF FINANCIAL ACCT,T,6:00 PM,8:45 PM,SH 338,LEC,"Borja,Patrick",3.00,Instruction is partially online.,Open
ACCT,2100,05,90985,PRINCIPLES OF FINANCIAL ACCT,M,6:00 PM,8:45 PM,SH 338,LEC,"Yavari,Asad",3.00,,Open
ACCT,2100,07,90987,PRINCIPLES OF FINANCIAL ACCT,R,6:00 PM,8:45 PM,SH 172,LEC,"Borja,Patrick",3.00,Instruction is partially online.,Open
ACCT,2100,08,91324,PRINCIPLES OF FINANCIAL ACCT,TBA,,,Online,LEC,"Lee,Dong-Woo",3.00,Instruction is online.,Closed
ACCT,2100,09,96422,PRINCIPLES OF FINANCIAL ACCT,MW,1:40 PM,2:55 PM,SH 136,LEC,"Bus & Econ,Faculty",3.00,,Closed
ACCT,2100,10,96423,PRINCIPLES OF FINANCIAL ACCT,MW,3:05 PM,4:20 PM,SH 164B,LEC,"Yavari,Asad",3.00,,Open
ACCT,2100,11,96424,PRINCIPLES OF FINANCIAL ACCT,TR,4:30 PM,5:45 PM,FA 315,LEC,"Yavari,Asad",3.00,,Open
ACCT,2100,12,97244,PRINCIPLES OF FINANCIAL ACCT,TR,1:40 PM,2:55 PM,ET C154,LEC,"Kim,Neung J",3.00,,Closed
ACCT,2110,01,90988,PRINCIPLES OF MANAGERIAL ACCT,TBA,,,Online,LEC,"Sun,Xiaojie",3.00,Instruction is online.,Closed
ACCT,2110,02,90989,PRINCIPLES OF MANAGERIAL ACCT,T,12:15 PM,1:30 PM,ET A126,LEC,"Sun,Xiaojie",3.00,Instruction is partially online.,Closed
ACCT,2110,03,90990,PRINCIPLES OF MANAGERIAL ACCT,R,6:00 PM,8:45 PM,SH 164B,LEC,"Yavari,Asad",3.00,,Open
ACCT,2110,04,90991,PRINCIPLES OF MANAGERIAL ACCT,MW,1:40 PM,2:55 PM,SH 264,LEC,"Lee,Dong-Woo",3.00,,Closed
ACCT,2110,05,91326,PRINCIPLES OF MANAGERIAL ACCT,W,6:00 PM,8:45 PM,SH 170,LEC,"Gershberg,Tatiana",3.00,Instruction is partially online.,Open
ACCT,2110,06,94584,PRINCIPLES OF MANAGERIAL ACCT,S,8:00 AM,10:45 AM,SH 171,LEC,"Elliott,Katherine Sue",3.00,Instruction is partially online.,Open
ACCT,2110,07,94594,PRINCIPLES OF MANAGERIAL ACCT,MW,1:40 PM,2:55 PM,SH 163,LEC,"Bus & Econ,Faculty",3.00,,Open
ACCT,2110,08,96427,PRINCIPLES OF MANAGERIAL ACCT,MW,12:15 PM,1:30 PM,SH 163,LEC,"Bus & Econ,Faculty",3.00,,Closed
ACCT,2110,09,96428,PRINCIPLES OF MANAGERIAL ACCT,F,12:00 PM,2:45 PM,BIOS 335,LEC,"Sahakyan,Suren",3.00,,Closed
ACCT,3200A,01,90992,INTERMED FINANCL ACCT & REPORT,T,6:00 PM,8:45 PM,BIOS 335,LEC,"Cao,Yiting",3.00,,Open
ACCT,3200A,02,90993,INTERMED FINANCL ACCT & REPORT,TR,4:30 PM,5:45 PM,SH 239,LEC,"Kim,Neung J",3.00,,Open
ACCT,3200A,03,96432,INTERMED FINANCL ACCT & REPORT,TR,12:15 PM,1:30 PM,FA 143,LEC,"Nkansa,Porschia C",3.00,,Open
ACCT,3200A,04,90994,INTERMED FINANCL ACCT & REPORT,T,9:25 AM,10:40 AM,FA 143,LEC,"Nkansa,Porschia C",3.00,Instruction is partially online.,Open
ACCT,3200A,05,90995,INTERMED FINANCL ACCT & REPORT,M,6:00 PM,8:45 PM,SH 142,LEC,"Arenz,David Glenn",3.00,,Open
ACCT,3200A,07,91297,INTERMED FINANCL ACCT & REPORT,W,6:00 PM,8:45 PM,SH 243,LEC,"Canevari,Mark L",3.00,,Open
ACCT,3200A,08,97245,INTERMED FINANCL ACCT & REPORT,R,6:00 PM,8:45 PM,SH 240,LEC,"Kim,Neung J",3.00,,Open
ACCT,3200B,01,90997,INTERMED FINANCL ACCT& REPORT,TR,9:25 AM,10:40 AM,ST F912,LEC,"Lau,Tinwah R",3.00,,Open
ACCT,3200B,02,90998,INTERMED FINANCL ACCT& REPORT,MW,3:05 PM,4:20 PM,BIOS 241,LEC,"Smolin,Robert K.",3.00,,Open
ACCT,3200B,03,90999,INTERMED FINANCL ACCT& REPORT,W,6:00 PM,8:45 PM,SH 136,LEC,"Smolin,Robert K.",3.00,Instruction is partially online.,Open
ACCT,3210,01,91000,TAXATION OF INDIVIDUALS,MW,12:15 PM,1:30 PM,SH 255,LEC,"Lawrie,Gretchen R",3.00,,Open
ACCT,3210,02,91001,TAXATION OF INDIVIDUALS,MW,3:05 PM,4:20 PM,SH 170,LEC,"Bus & Econ,Faculty",3.00,,Open
ACCT,3210,04,91309,TAXATION OF INDIVIDUALS,W,6:00 PM,8:45 PM,SH 260,LEC,"Bus & Econ,Faculty",3.00,,Open
ACCT,3210,05,97338,TAXATION OF INDIVIDUALS,T,12:15 PM,1:30 PM,SH 172,LEC,"Monsour,Edward",3.00,Instruction is partially online.,Open
ACCT,3220,01,91003,COST ACCOUNTING,MW,9:25 AM,10:40 AM,SH 244,LEC,"He,Haihong",3.00,,Open
ACCT,3220,02,91004,COST ACCOUNTING,MW,10:50 AM,12:05 PM,SH 243,LEC,"He,Haihong",3.00,,Open
ACCT,3220,03,91005,COST ACCOUNTING,F,12:00 PM,2:45 PM,SH 339A,LEC,"He,Haihong",3.00,,Open
ACCT,3220,04,91006,COST ACCOUNTING,T,6:00 PM,8:45 PM,SH 172,LEC,"Elliott,Katherine Sue",3.00,,Closed
ACCT,3250,01,91007,LEADERSHP & PROF SKILLS-ACCT,MW,12:15 PM,1:30 PM,SH 236,LEC,"Kunkel,James Gregory",3.00,,Open
ACCT,3250,02,91008,LEADERSHP & PROF SKILLS-ACCT,TR,10:50 AM,12:05 PM,SH 265,LEC,"Hansen,Kathryn S",3.00,,Open
ACCT,3250,03,91009,LEADERSHP & PROF SKILLS-ACCT,W,6:00 PM,8:45 PM,KH B3008,LEC,"Yavari,Asad",3.00,,Open
ACCT,3250,04,91287,LEADERSHP & PROF SKILLS-ACCT,T,6:00 PM,8:45 PM,SH 246,LEC,"Hansen,Kathryn S",3.00,,Open
ACCT,4200,01,91010,"ADV FINANCL ACCT AND
REPORTING",R,6:00 PM,8:45 PM,SH 357,LEC,"Hossain,David",3.00,Combine with ACCT 5290 01,Open
ACCT,4210A,01,91011,CORPORATE TAXATION,W,6:00 PM,8:45 PM,SH 142,LEC,"Lawrie,Gretchen R",3.00,,Open
ACCT,4210A,02,91012,CORPORATE TAXATION,MW,1:40 PM,2:55 PM,SH 267,LEC,"Lawrie,Gretchen R",3.00,,Open
ACCT,4210A,03,91013,CORPORATE TAXATION,T,1:40 PM,2:55 PM,MUS 256,LEC,"Monsour,Edward",3.00,Instruction is partially online.,Open
ACCT,4210C,02,97240,STATE AND LOCAL TAXATION,S,8:00 AM,10:45 AM,SH 168,LEC,"Zhao,Yan Shu",3.00,Combine with ACCT 5210C 02,Open
ACCT,4240A,02,96440,"ACCOUNTING INFORMATION
SYSTEMS",T,1:40 PM,2:55 PM,KH B2005,LEC,"Gershberg,Tatiana",3.00,Instruction is partially online.,Closed
ACCT,4240A,03,91016,"ACCOUNTING INFORMATION
SYSTEMS",M,6:00 PM,8:45 PM,BIOS 335,LEC,"Porter,Sidney Artus",3.00,Instruction is partially online.,Open
ACCT,4240A,04,91017,"ACCOUNTING INFORMATION
SYSTEMS",W,6:00 PM,8:45 PM,SH 168,LEC,"Bus & Econ,Faculty",3.00,,Open
ACCT,4240A,05,97346,"ACCOUNTING INFORMATION
SYSTEMS",T,10:50 AM,12:05 PM,SH 136,LEC,"Gershberg,Tatiana",3.00,Instruction is partially online.,Open
ACCT,4240B,01,91019,AUDITING,MW,12:15 PM,1:30 PM,SH 172,LEC,"Zhao,Lijuan",3.00,,Open
ACCT,4240B,02,91288,AUDITING,M,6:00 PM,8:45 PM,SH 172,LEC,"Canevari,Mark L",3.00,,Open
ACCT,4240B,03,95114,AUDITING,W,6:00 PM,8:45 PM,BIOS 335,LEC,"Ryan,Daniel Francis",3.00,,Open
ACCT,4240B,04,96441,AUDITING,R,6:00 PM,8:45 PM,SH 168,LEC,"Zhao,Yan Shu",3.00,,Open
ACCT,4270,01,91020,"GOVERMENTAL & INSTITUTION
ACCT",R,6:00 PM,8:45 PM,SH 366,LEC,"Nkansa,Porschia C",3.00,Combine with ACCT 5270 01,Open
ACCT,4340,01,91021,"PROFESSIONAL ACCOUNTING
ETHICS",TR,9:25 AM,10:40 AM,KH C5103,LEC,"Elias,Rafik Z",3.00,,Closed
ACCT,4340,02,91289,"PROFESSIONAL ACCOUNTING
ETHICS",TR,10:50 AM,12:05 PM,SH 135,LEC,"Elias,Rafik Z",3.00,,Open
ACCT,4340,03,94852,"PROFESSIONAL ACCOUNTING
ETHICS",T,6:00 PM,8:45 PM,SH 243,LEC,"Elias,Rafik Z",3.00,,Open
ACCT,4350,01,91022,FORENSIC ACCOUNTING,R,6:00 PM,8:45 PM,SH 237,LEC,"Ryan,Daniel Francis",3.00,Combine with ACCT 5350 01,Open
ACCT,4950,01,91023,CASE STUDIES & RESEARCH ACCT,W,6:00 PM,8:45 PM,SH 137,LEC,"Hossain,David",3.00,,Open
ACCT,4950,02,96478,CASE STUDIES & RESEARCH ACCT,TR,10:50 AM,12:05 PM,ST F512,LEC,"Lau,Tinwah R",3.00,,Open
ACCT,4950,03,95010,CASE STUDIES & RESEARCH ACCT,TR,12:15 PM,1:30 PM,ST F512,LEC,"Lau,Tinwah R",3.00,,Open
ACCT,4950,04,96479,CASE STUDIES & RESEARCH ACCT,S,8:00 AM,10:45 AM,SH 243,LEC,"Lau,Tinwah R",3.00,,Open
ACCT,4950,05,97104,CASE STUDIES & RESEARCH ACCT,M,6:00 PM,8:45 PM,SH 368,LEC,"Kim,Neung J",3.00,,Open
ACCT,5210A,01,91025,"TAX OF CORPORTNS &
PARTNERSHIP",TBA,,,Online,LEC,"Monsour,Edward",3.00,Instruction is online.,Open
ACCT,5210C,02,97241,STATE AND LOCAL TAXATION,S,8:00 AM,10:45 AM,SH 168,LEC,"Zhao,Yan Shu",3.00,Combine with ACCT 4210C 02,Open
ACCT,5240A,01,91027,"ACCOUNTING INFORMATION
SYSTEMS",W,6:00 PM,8:45 PM,SH 139,LEC,"Gershberg,Tatiana",3.00,Instruction is partially online.,Open
ACCT,5260,01,96481,FINANCIAL ACCOUNTING THEOR,T,6:00 PM,8:45 PM,SH 164B,LEC,"Hossain,David",3.00,,Open
ACCT,5270,01,94813,GOVERNMNTL & INSTITUTNTL ACCT,R,6:00 PM,8:45 PM,SH 366,LEC,"Nkansa,Porschia C",3.00,Combine with ACCT 4270 01,Open
ACCT,5290,01,91290,ADVANCED FINANCIAL ACCOUNTING,R,6:00 PM,8:45 PM,SH 357,LEC,"Hossain,David",3.00,Combine with ACCT 4200 01,Open
ACCT,5350,01,91028,FORENSIC ACCOUNTING,R,6:00 PM,8:45 PM,SH 237,LEC,"Ryan,Daniel Francis",3.00,Combine with ACCT 4350 01,Open
ACCT,5750,01,94858,LDRSHP & PROF SKILLS FOR ACCTS,M,6:00 PM,8:45 PM,SH 171,LEC,"Kunkel,James Gregory",3.00,,Open
AL,1010,01,90573,INTRO TO HIGHER ED IN A&L,T,12:15 PM,1:30 PM,FA 223,LEC,"Crossman,Elizabeth Erin",3.00,Instruction is partially online.,Open
AL,1010,03,90575,INTRO TO HIGHER ED IN A&L,T,9:25 AM,10:40 AM,KH B3020,LEC,"Crossman,Elizabeth Erin",3.00,Instruction is partially online.,Closed
AL,1010,04,90576,INTRO TO HIGHER ED IN A&L,R,9:25 AM,10:40 AM,KH B3020,LEC,"Crossman,Elizabeth Erin",3.00,Instruction is partially online.,Closed
AL,1010,05,90577,INTRO TO HIGHER ED IN A&L,T,10:50 AM,12:05 PM,KH B3020,LEC,"Crossman,Elizabeth Erin",3.00,Instruction is partially online.,Closed
AL,1010,06,90578,INTRO TO HIGHER ED IN A&L,R,10:50 AM,12:05 PM,KH B3020,LEC,"Crossman,Elizabeth Erin",3.00,Instruction is partially online.,Closed
AL,1010,07,90587,INTRO TO HIGHER ED IN A&L,M,12:15 PM,1:30 PM,KH B3019,LEC,,3.00,Instruction is partially online.,Closed
AL,1010,08,90588,INTRO TO HIGHER ED IN A&L,W,12:15 PM,1:30 PM,KH B3019,LEC,"Masek,Kara Marie",3.00,Instruction is partially online.,Closed
AL,1010,09,90723,INTRO TO HIGHER ED IN A&L,MW,4:30 PM,5:45 PM,MUS 220,LEC,,3.00,,Closed
AL,1010,10,90761,INTRO TO HIGHER ED IN A&L,M,3:05 PM,4:20 PM,KH B1021,LEC,,3.00,Instruction is partially online.,Open
AL,1010,11,95163,INTRO TO HIGHER ED IN A&L,W,3:05 PM,4:20 PM,KH B1021,LEC,"Masek,Kara Marie",3.00,Instruction is partially online.,Open
ANTH,1001,01,92700,LEARNING TO LEARN,MW,12:15 PM,1:30 PM,MUS 220,LEC,"Ngin,Chor-Swang",3.00,,Closed
ANTH,1001,02,92701,LEARNING TO LEARN,MW,1:40 PM,2:55 PM,KH C171,LEC,"Karout,Maha Mohamed",3.00,,Closed
ANTH,1500,01,92702,CULTURAL ANTHROPOLOGY,MW,12:15 PM,1:30 PM,SH 265,LEC,"Sera,James Christian",3.00,,Open
ANTH,1500,02,93638,CULTURAL ANTHROPOLOGY,MW,1:40 PM,2:55 PM,KH B1007,LEC,"Sera,James Christian",3.00,,Open
ANTH,1500,04,93907,CULTURAL ANTHROPOLOGY,TR,9:25 AM,10:40 AM,FA 223,LEC,"Saul,Susan",3.00,,Open
ANTH,1500,05,94901,CULTURAL ANTHROPOLOGY,TBA,,,Online,LEC,"Bodoh-Creed,Jessica Anne",3.00,Instruction is online.,Closed
ANTH,1700,01,92703,WORLD PREHISTORY,TR,1:40 PM,2:55 PM,KH B1007,LEC,"Wells,Helen",3.00,,Open
ANTH,2300,01,92704,LANGUAGE AND SOCIETY,TR,12:15 PM,1:30 PM,MUS 208,LEC,"Sonnenschein,Aaron Huey",3.00,Combine with ANTH 2300 01,Closed
ANTH,2600,01,92705,BIOLOGICAL ANTHROPOLOGY,MW,11:00 AM,11:50 AM,ET A227,LEC,"Pohl,John Martin Deland",3.00,"Student required to register for one lab, either
section 02 or 03.",Closed
ANTH,2600,02,92706,BIOLOGICAL ANTHROPOLOGY,F,8:00 AM,10:30 AM,KH C2091,LAB,"Ramirez,Natalie",,"Student required to register in ANTH 2600-01
lecture.",Closed
ANTH,2600,03,92707,BIOLOGICAL ANTHROPOLOGY,F,1:50 PM,4:20 PM,KH C2091,LAB,"Ceniceros-Rodriguez,Santos
Isidro",,"Student required to register in ANTH 2600-01
lecture.",Closed
ANTH,2600,04,93350,BIOLOGICAL ANTHROPOLOGY,MW,10:00 AM,10:50 AM,KH B3010,LEC,"Pohl,John Martin Deland",3.00,"Student required to register for one lab, either
section 05 or 06.",Closed
ANTH,2600,05,93351,BIOLOGICAL ANTHROPOLOGY,M,10:55 AM,1:25 PM,KH C2091,LAB,"Garcia,Ariel",,"Student required to register in ANTH 2600-04
lecture.",Closed
ANTH,2600,06,93352,BIOLOGICAL ANTHROPOLOGY,W,10:55 AM,1:25 PM,KH C1066,LAB,"Chan,Amy Marie",,"Student required to register in ANTH 2600-04
lecture.",Closed
ANTH,2600,07,93353,BIOLOGICAL ANTHROPOLOGY,MW,10:00 AM,10:50 AM,KH C3100,LEC,"Saldana,Melanie Pasqua",3.00,"Student required to register for one lab, either
08 or 09.",Closed
ANTH,2600,08,93354,BIOLOGICAL ANTHROPOLOGY,M,10:55 AM,1:25 PM,KH C1066,LAB,"Johnson,Megan Amanda",,"Student required to register for ANTH 2600-07
lecture.",Closed
ANTH,2600,09,93355,BIOLOGICAL ANTHROPOLOGY,W,10:55 AM,1:25 PM,KH D2075,LAB,"Haug,Jaxson Denali",,"Student required to register for ANTH 2600-07
lecture.",Closed
ANTH,2600,10,93379,BIOLOGICAL ANTHROPOLOGY,TR,5:00 PM,5:50 PM,KH B111,LEC,"Bleuze,Michele",3.00,"Student required to register for one lab, either
11 or 12.",Closed
ANTH,2600,11,93387,BIOLOGICAL ANTHROPOLOGY,T,8:00 AM,10:30 AM,KH C1066,LAB,"Medina,Shelby Lynn",,"Student required to register in ANTH 2600-10
lecture.",Closed
ANTH,2600,12,93388,BIOLOGICAL ANTHROPOLOGY,R,8:00 AM,10:30 AM,KH C1066,LAB,"Haug,Jaxson Denali",,"Student required to register in ANTH 2600-10
lecture.",Closed
ANTH,2600,13,93653,BIOLOGICAL ANTHROPOLOGY,TR,1:40 PM,2:30 PM,FA 219,LEC,"Parga,Joyce Ann",3.00,"Student required to register for one lab, either
section 14 or 15.",Closed
ANTH,2600,14,93654,BIOLOGICAL ANTHROPOLOGY,T,8:00 AM,10:30 AM,KH D2075,LAB,"Fiorentino,Giorgia",,"Student required to register in ANTH 2600-13
lecture.",Closed
ANTH,2600,15,93655,BIOLOGICAL ANTHROPOLOGY,R,10:55 AM,1:25 PM,KH D2075,LAB,"Mayoral,Roxanne Marie",,"Student required to register in ANTH 2600-13
lecture.",Closed
ANTH,2600,16,93656,BIOLOGICAL ANTHROPOLOGY,TR,2:10 PM,3:00 PM,PE 117,LEC,"Saul,Susan",3.00,"Student required to register for one lab, either
section 17 or 18.",Closed
ANTH,2600,17,93658,BIOLOGICAL ANTHROPOLOGY,R,8:00 AM,10:30 AM,KH D2075,LAB,"Rosette,David Santino",,"Student required to register in ANTH 2600-16
lecture.",Closed
ANTH,2600,18,93659,BIOLOGICAL ANTHROPOLOGY,R,3:05 PM,5:35 PM,KH C2091,LAB,"Quintana,Markie Amanda",,"Student required to register in ANTH 2600-16
lecture.",Closed
ANTH,2600,19,93772,BIOLOGICAL ANTHROPOLOGY,TBA,,,Online,LEC,"Miller,Elizabeth",3.00,"Instruction is online. Student required to register for one lab, either section 20 or 21.",Closed
ANTH,2600,20,93773,BIOLOGICAL ANTHROPOLOGY,R,10:55 AM,1:25 PM,KH C2091,LAB,"Santos,Mariana",,"Student required to register in ANTH 2600-19
ONLINE lecture.",Closed
ANTH,2600,21,93774,BIOLOGICAL ANTHROPOLOGY,F,8:00 AM,10:30 AM,KH C1066,LAB,"Gonzalez Segovia,Yahaira
Andrea",,"Student required to register in ANTH 2600-19
ONLINE lecture.",Closed
ANTH,2600,22,95337,BIOLOGICAL ANTHROPOLOGY,MW,11:00 AM,11:50 AM,KH B4016,LEC,"Lee,Christine",3.00,"Student required to register for one lab, either
section 23 or 24.",Closed
ANTH,2600,23,95338,BIOLOGICAL ANTHROPOLOGY,M,8:00 AM,10:30 AM,KH D2075,LAB,"Garcia,Ariel",,"Student required to register in ANTH 2600-22
lecture.",Closed
ANTH,2600,24,96333,BIOLOGICAL ANTHROPOLOGY,F,10:55 AM,1:25 PM,KH C1066,LAB,"Rosette,David Santino",,"Student required to register in ANTH 2600-22
lecture.",Closed
ANTH,2600,25,96408,BIOLOGICAL ANTHROPOLOGY,MW,11:00 AM,11:50 AM,MUS 110,LEC,"Saldana,Melanie Pasqua",3.00,"Student required to register for one lab, either
section 26 or 27.",Closed
ANTH,2600,26,96412,BIOLOGICAL ANTHROPOLOGY,F,1:50 PM,4:20 PM,KH D2074,LAB,"Mayoral,Roxanne Marie",,"Student required to register in ANTH 2600-25
lecture.",Closed
ANTH,2600,27,96413,BIOLOGICAL ANTHROPOLOGY,R,3:05 PM,5:35 PM,KH D2075,LAB,"Haug,Jaxson Denali",,"Student required to register in ANTH 2600-25
lecture.",Closed
ANTH,2600,28,96414,BIOLOGICAL ANTHROPOLOGY,MW,10:00 AM,10:50 AM,KH B4015,LEC,"Bleuze,Michele",3.00,"Student required to register for one lab, either
section 29 or 30.",Closed
ANTH,2600,29,96415,BIOLOGICAL ANTHROPOLOGY,F,10:55 AM,1:25 PM,KH C2091,LAB,"Gonzalez Segovia,Yahaira
Andrea",,"Student required to register in ANTH 2600-28
lecture.",Closed
ANTH,2600,30,96416,BIOLOGICAL ANTHROPOLOGY,T,10:55 AM,1:25 PM,KH C2091,LAB,"Chan,Amy Marie",,"Student required to register in ANTH 2600-28
lecture.",Closed
ANTH,2700,01,93400,GREAT DISCOVERIES,MW,4:30 PM,5:45 PM,KH B1007,LEC,"Saldana,Melanie Pasqua",3.00,,Open
ANTH,2700,02,93775,GREAT DISCOVERIES,TBA,,,Online,LEC,"Barket,Theresa",3.00,Instruction is online.,Closed
ANTH,3000,01,92708,IMM EX SOCIAL JUSTICE,MW,12:15 PM,1:30 PM,FA 347,LEC,"Karout,Maha Mohamed",3.00,Combine with LAS 3000 01,Open
ANTH,3000,02,94593,IMM EX SOCIAL JUSTICE,MWF,10:00 AM,10:50 AM,KH C5103,LEC,,3.00,Combine with LAS 3000 02,Open
ANTH,3000,03,94592,IMM EX SOCIAL JUSTICE,MWF,11:00 AM,11:50 AM,KH C5103,LEC,,3.00,Combine with LAS 3000 03,Open
ANTH,3200,01,93401,LEARNING THE COMMUNITY,TR,12:15 PM,1:30 PM,KH C4075,LEC,"Sera,James Christian",3.00,,Open
ANTH,3210,01,93358,THE GLOBAL WORLD AND YOU,TR,10:50 AM,12:05 PM,KH C5103,LEC,"Sera,James Christian",3.00,,Open
ANTH,3360,01,93776,DRESS AND IDENTITY,TBA,,,Online,LEC,"Bodoh-Creed,Jessica Anne",3.00,Instruction is online.,Closed
ANTH,3380,01,95758,GENDERS AND SEXUALITIES,TR,1:40 PM,2:55 PM,KH C4070,LEC,"Bodoh-Creed,Jessica Anne",3.00,,Open
ANTH,3550,01,96897,ANCIENT CIVILIZATIONS,TR,4:30 PM,5:45 PM,KH B1007,LEC,"Sonnenschein,Aaron Huey",3.00,,Open
ANTH,3610,02,92710,"RACE,RACISM & HUMAN VARIATION",TR,12:15 PM,1:30 PM,KH D2074,LEC,"Saul,Susan",3.00,,Open
ANTH,3610,03,93521,"RACE,RACISM & HUMAN VARIATION",TR,4:30 PM,5:45 PM,BIOS 144,LEC,"Parga,Joyce Ann",3.00,,Open
ANTH,3610,04,93522,"RACE,RACISM & HUMAN VARIATION",TBA,,,Online,LEC,"Bleuze,Michele",3.00,Instruction is online.,Closed
ANTH,3700,01,93359,ARCHAEOLOGICAL SCIENCE,MW,1:40 PM,2:55 PM,KH D2074,LEC,"Pohl,John Martin Deland",3.00,,Open
ANTH,3700,02,93637,ARCHAEOLOGICAL SCIENCE,TBA,,,Online,LEC,"Ainis,Amira Francesca",3.00,Instruction is online.,Open
ANTH,3790,01,92711,WRITING COMMUNITY,TR,1:40 PM,2:55 PM,KH B2011,LEC,"Sonnenschein,Aaron Huey",3.00,,Open
ANTH,3850,01,93356,"MEASUREMENT OF HUMAN
DIFFERENC",MW,3:05 PM,4:20 PM,FA 223,LEC,"Lee,Christine",3.00,Combine with PHIL 3850-01,Open
ANTH,3850,02,93357,"MEASUREMENT OF HUMAN
DIFFERENC",TBA,,,Online,LEC,"Arenson,Lauren Joy",3.00,"Instruction is online. Combine with PHIL 3850-
02.",Open
ANTH,3850,03,94774,"MEASUREMENT OF HUMAN
DIFFERENC",TR,10:50 AM,12:05 PM,KH B3008,LEC,"Atta,Bruce E",3.00,Combine with PHIL 3850 03,Closed
ANTH,3850,04,96637,"MEASUREMENT OF HUMAN
DIFFERENC",TR,1:40 PM,2:55 PM,PE 120,LEC,"Atta,Bruce E",3.00,Combine with PHIL 3850 04,Open
ANTH,4220,01,97157,THE COASTAL ARCHAEOLOGY,TR,9:25 AM,10:40 AM,BIOS 241,LEC,"Vellanoweth,Rene Luis",3.00,,Open
ANTH,4240,01,93428,ARCHAEOLOGICAL FIELD SCHOOL,F,12:00 PM,1:40 PM,KH B3014,SEM,"Wells,Helen",4.00,,Open
ANTH,4460,01,94687,ANTHROPOLOGICAL FILM,W,6:00 PM,8:45 PM,KH B1016,SEM,"Sullivan,Kathleen M",4.00,,Open
ANTH,4510,01,96908,DEATH & DYING IN ANCIENT WORLD,MW,1:40 PM,2:55 PM,KH B2017,LEC,"Lee,Christine",3.00,,Open
ANTH,4540,01,97214,SPECIAL TOPICS IN ANTH,MW,4:30 PM,5:45 PM,SH 136,LEC,"Pohl,John Martin Deland",3.00,"Interdisciplinary study of museums and current issues in the museum profession, including practical, day-to-day skills needed to operate an institution and theories on the societal role of museums.",Open
ANTH,4590,01,92713,HUMAN OSTEOLOGY,MW,11:00 AM,11:50 AM,KH B4017,LEC,"Miller,Elizabeth",3.00,,Open
